ID,IDpartita,IDevento,IDgiocatore,Tempo,Secondi,X,Y
4639,15,15,4,2,585.9627468,168,0
4640,15,0,4,2,585.9627468,0,0
4641,15,0,4,2,585.9627468,0,0
4642,15,2,-1,2,599,170,0
4643,15,19,2,3,0,0,0
4644,15,19,4,3,0,0,0
4645,15,19,8,3,0,0,0
4646,15,19,34,3,0,0,0
4647,15,19,9,3,0,0,0
4648,15,19,34,3,0,0,0
4649,15,18,14,3,0,0,0
4650,15,18,2,3,0,0,0
4651,15,18,4,3,0,0,0
4652,15,18,8,3,0,0,0
4653,15,18,14,3,0,0,0
4654,15,18,9,3,0,0,0
4655,15,7,14,3,16.07409178,0,0
4656,15,9,8,3,35.74611835,0,0
4657,15,4,-1,3,58.17932913,172,0
4658,15,10,9,3,93.50034222,0,0
4659,15,4,14,3,95.28186976,35.74766355,7.714285714
4660,15,7,14,3,114.6666742,0,0
4661,15,2,2,3,124.5674059,35.04672897,36.47619048
4662,15,7,14,3,145.5528583,0,0
4663,15,9,9,3,167.351268,0,0
4664,15,2,-1,3,184.5474638,173,0
4665,15,3,8,3,211.3324249,20.79439252,48.0952381
4666,15,6,9,3,216.5660288,0,0
4667,15,10,4,3,219.1681195,0,0
4668,15,4,9,3,221.4906195,39.48598131,11.04761905
4669,15,7,8,3,241.6321105,0,0
4670,15,5,14,3,243.400841,45.91121495,87.61904762
4671,15,2,-1,3,252.1748438,172,0
4672,15,2,14,3,269.9544268,21.61214953,58.0952381
4673,15,15,14,3,269.9544268,176,0
4674,15,0,14,3,269.9544268,0,0
4675,15,7,4,3,291.0089695,0,0
4676,15,2,8,3,296.5458887,22.31308411,43.42857143
4677,15,2,-1,3,311.4653384,168,0
4678,15,5,9,3,330.4895072,42.05607477,88.85714286
4680,15,2,-1,3,350.8667561,168,0
4681,15,10,4,3,373.2145074,0,0
4682,15,4,14,3,374.9513853,45.79439252,13.33333333
4683,15,13,2,3,379.819147,0,0
4684,15,19,9,3,379.819147,0,0
4685,15,18,34,3,379.819147,0,0
4686,15,13,4,3,397.4858151,0,0
4687,15,2,-1,3,407.283408,170,0
4688,15,3,8,3,430.8574592,35.63084112,59.04761905
4689,15,13,14,3,439.9850593,0,0
4690,15,2,14,3,459.6257803,54.55607477,48.57142857
4691,15,2,-1,3,474.5887826,168,0
4692,15,2,14,3,502.0607396,44.62616822,56.66666667
4693,15,13,8,3,515.6303907,0,0
4694,15,4,-1,3,519.5887262,170,0
